Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Distance_bin,Total Space
Glenroy,3,h,Barry,9/3/2016,13,3046,3,3,1,482,Northern Metropolitan,8870,681500,Nearby,10
Glenroy,3,h,Nelson,9/3/2016,13,3046,3,3,1,482,Northern Metropolitan,8870,640000,Nearby,10
Glenroy,3,h,Eview,9/3/2016,13,3046,3,3,1,482,Northern Metropolitan,8870,712000,Nearby,10
Gowanbrae,3,h,Nelson,9/3/2016,13.6,3043,3,2,2,608,Western Metropolitan,1071,631000,Nearby,10
Gowanbrae,3,t,Nelson,9/3/2016,13.6,3043,3,2,1,149,Western Metropolitan,1071,532000,Nearby,9
Hadfield,3,h,hockingstuart,9/3/2016,12.1,3046,3,1,2,597,Northern Metropolitan,2606,605000,Nearby,9
Hadfield,3,h,Stockdale,9/3/2016,12.1,3046,3,3,1,482,Northern Metropolitan,2606,570000,Nearby,10
Hadfield,3,h,Brad,9/3/2016,12.1,3046,3,1,2,724,Northern Metropolitan,2606,685500,Nearby,9
Hampton,2,u,hockingstuart,9/3/2016,13.7,3188,2,1,1,228,Southern Metropolitan,5454,895000,Nearby,6
Hampton,2,u,Ray,9/3/2016,13.7,3188,2,1,1,50,Southern Metropolitan,5454,587000,Nearby,6
Hampton,4,h,Nick,9/3/2016,13.7,3188,3,3,2,701,Southern Metropolitan,5454,2800000,Nearby,12
Hampton,2,u,Buxton,9/3/2016,13.7,3188,2,1,1,832,Southern Metropolitan,5454,720000,Nearby,6
Hampton,4,h,hockingstuart,9/3/2016,13.7,3188,4,3,2,928,Southern Metropolitan,5454,3250000,Nearby,13
Hampton East,4,h,Marshall,9/3/2016,14.5,3188,3,3,1,593,Southern Metropolitan,2356,1525000,Nearby,11
Hawthorn,4,h,Jellis,9/3/2016,4.6,3122,4,2,2,317,Southern Metropolitan,11308,1650000,Nearby,12
Heidelberg Heights,2,h,Fletchers,9/3/2016,10.5,3081,2,1,2,589,Eastern Metropolitan,2947,815000,Nearby,7
Heidelberg West,5,h,Nelson,9/3/2016,9.4,3081,3,2,2,415,Eastern Metropolitan,2674,765000,Nearby,12
Heidelberg West,3,h,Haughton,9/3/2016,9.4,3081,2,1,2,624,Eastern Metropolitan,2674,691000,Nearby,8
Hughesdale,2,h,Woodards,9/3/2016,13,3166,2,1,1,732,Southern Metropolitan,3145,1550000,Nearby,6
Hughesdale,2,u,Ray,9/3/2016,13,3166,2,1,1,50,Southern Metropolitan,3145,516000,Nearby,6
Ivanhoe,2,u,Miles,9/3/2016,7.9,3079,2,1,1,50,Eastern Metropolitan,5549,480000,Nearby,6
Keilor East,3,h,Nelson,9/3/2016,12.8,3033,3,2,2,683,Western Metropolitan,5629,703000,Nearby,10
Keilor East,3,h,Nelson,9/3/2016,12.8,3033,3,3,1,537,Western Metropolitan,5629,680000,Nearby,10
Keilor East,3,h,Barry,9/3/2016,12.8,3033,3,1,1,538,Western Metropolitan,5629,650000,Nearby,8
Kensington,3,h,Nelson,9/3/2016,4.2,3031,2,1,1,258,Northern Metropolitan,5263,785000,Nearby,7
Kensington,3,h,Nelson,9/3/2016,4.2,3031,3,1,1,166,Northern Metropolitan,5263,852000,Nearby,8
Kensington,3,h,Rendina,9/3/2016,4.2,3031,3,1,1,188,Northern Metropolitan,5263,1037000,Nearby,8
Kew,3,h,Jellis,9/3/2016,5.6,3101,3,1,2,396,Southern Metropolitan,10331,1635000,Nearby,9
Kew,2,h,Jellis,9/3/2016,5.6,3101,2,2,1,697,Southern Metropolitan,10331,4800000,Nearby,7
Kew,3,u,Jellis,9/3/2016,5.6,3101,1,1,1,50,Southern Metropolitan,10331,970000,Nearby,6
Kew,5,h,Jellis,9/3/2016,5.6,3101,3,3,1,593,Southern Metropolitan,10331,6240000,Nearby,12
Kew East,4,h,Marshall,9/3/2016,7.5,3102,3,3,1,593,Southern Metropolitan,2671,2040000,Nearby,11
Kew East,4,h,Marshall,9/3/2016,7.5,3102,3,2,2,712,Southern Metropolitan,2671,2490000,Nearby,11
Kew East,2,u,Nelson,9/3/2016,7.5,3102,2,1,1,50,Southern Metropolitan,2671,620000,Nearby,6
Maidstone,3,h,Sweeney,9/3/2016,9.2,3012,3,1,3,564,Western Metropolitan,3873,670000,Nearby,10
Maidstone,3,t,Jas,9/3/2016,9.2,3012,3,2,2,165,Western Metropolitan,3873,615000,Nearby,10
Maidstone,3,h,Burnham,9/3/2016,9.2,3012,3,1,1,576,Western Metropolitan,3873,715000,Nearby,8
Maidstone,4,h,Rendina,9/3/2016,9.2,3012,4,2,2,308,Western Metropolitan,3873,826000,Nearby,12
Malvern,3,h,Jellis,9/3/2016,7.4,3144,3,3,1,593,Southern Metropolitan,4675,2500000,Nearby,10
Malvern,4,h,Jellis,9/3/2016,7.4,3144,3,3,1,593,Southern Metropolitan,4675,3850000,Nearby,11
Malvern East,3,h,Marshall,9/3/2016,11.2,3145,3,1,1,322,Southern Metropolitan,8801,1490000,Nearby,8
Malvern East,3,h,Marshall,9/3/2016,11.2,3145,3,2,1,337,Southern Metropolitan,8801,1210000,Nearby,9
Malvern East,4,h,J,9/3/2016,11.2,3145,3,2,2,644,Southern Metropolitan,8801,1300000,Nearby,11
Malvern East,4,h,Thomson,9/3/2016,11.2,3145,3,2,4,727,Southern Metropolitan,8801,1675000,Nearby,13
Melbourne,1,u,RT,9/3/2016,2.8,3000,1,1,1,50,Northern Metropolitan,17496,400000,Nearby,4
Middle Park,3,h,Cayzer,9/3/2016,4.1,3206,3,1,1,279,Southern Metropolitan,2019,2600000,Nearby,8
Mont Albert,2,h,Lindellas,9/3/2016,11.8,3127,2,1,1,613,Eastern Metropolitan,2079,1320000,Nearby,6
Mont Albert,4,h,Jellis,9/3/2016,11.8,3127,4,2,2,1388,Eastern Metropolitan,2079,2850000,Nearby,12
Moonee Ponds,3,u,Nelson,9/3/2016,6.9,3039,3,2,2,50,Western Metropolitan,6232,670000,Nearby,10
Moorabbin,3,h,Buxton,9/3/2016,14.6,3189,3,1,3,834,Southern Metropolitan,2555,1224000,Nearby,10
Moorabbin,3,h,Buxton,9/3/2016,14.6,3189,3,1,3,771,Southern Metropolitan,2555,1020000,Nearby,10
Moorabbin,3,h,O'Brien,9/3/2016,14.6,3189,3,2,2,573,Southern Metropolitan,2555,1000000,Nearby,10
Moorabbin,1,u,Ray,9/3/2016,14.6,3189,1,1,1,106,Southern Metropolitan,2555,380500,Nearby,4
Newport,3,h,Sweeney,9/3/2016,8.4,3015,3,2,2,301,Western Metropolitan,5498,1025000,Nearby,10
Newport,3,h,Village,9/3/2016,8.4,3015,2,1,2,281,Western Metropolitan,5498,826000,Nearby,8
Niddrie,3,t,Barry,9/3/2016,11.2,3042,3,3,2,303,Western Metropolitan,2291,830000,Nearby,11
Niddrie,4,t,Barry,9/3/2016,11.2,3042,2,2,1,200,Western Metropolitan,2291,1065000,Nearby,9
Niddrie,3,h,McDonald,9/3/2016,11.2,3042,3,2,2,274,Western Metropolitan,2291,780000,Nearby,10
Niddrie,3,h,Brad,9/3/2016,11.2,3042,3,3,1,537,Western Metropolitan,2291,950000,Nearby,10
North Melbourne,4,h,Nelson,9/3/2016,2.3,3051,4,3,4,310,Northern Metropolitan,6821,2920000,Nearby,15
North Melbourne,3,h,Nelson,9/3/2016,2.3,3051,2,1,0,517,Northern Metropolitan,6821,1635000,Nearby,6
North Melbourne,1,u,Nelson,9/3/2016,2.3,3051,1,1,1,50,Northern Metropolitan,6821,491000,Nearby,4
Northcote,2,h,McGrath,9/3/2016,5.5,3070,2,1,1,245,Northern Metropolitan,11364,1286000,Nearby,6
Northcote,3,h,Nelson,9/3/2016,5.5,3070,3,1,1,215,Northern Metropolitan,11364,1200000,Nearby,8
Northcote,3,h,Nelson,9/3/2016,5.5,3070,3,2,2,286,Northern Metropolitan,11364,1382500,Nearby,10
Northcote,2,u,McGrath,9/3/2016,5.5,3070,2,2,1,50,Northern Metropolitan,11364,630000,Nearby,7
Northcote,4,h,Jellis,9/3/2016,5.5,3070,4,2,1,464,Northern Metropolitan,11364,1600000,Nearby,11
Oak Park,4,t,Brad,9/3/2016,11.5,3046,2,2,1,145,Northern Metropolitan,2651,670000,Nearby,9
Oak Park,3,h,Nelson,9/3/2016,11.5,3046,3,1,3,757,Northern Metropolitan,2651,892000,Nearby,10
Oak Park,2,h,Barry,9/3/2016,11.5,3046,2,1,2,577,Northern Metropolitan,2651,592000,Nearby,7
Oakleigh South,4,h,Woodards,9/3/2016,14.7,3167,3,3,2,632,South-Eastern Metropolitan,3692,991000,Nearby,12
Oakleigh South,2,h,Buxton,9/3/2016,14.7,3167,3,3,2,632,South-Eastern Metropolitan,3692,1242000,Nearby,10
Oakleigh South,2,t,Buxton,9/3/2016,14.7,3167,2,2,1,248,South-Eastern Metropolitan,3692,665000,Nearby,7
Oakleigh South,3,t,Fletchers,9/3/2016,14.7,3167,3,2,1,189,South-Eastern Metropolitan,3692,680000,Nearby,9
Parkville,4,h,Nelson,9/3/2016,2.6,3052,4,2,2,357,Northern Metropolitan,2309,1230000,Nearby,12
Pascoe Vale,3,h,Brad,9/3/2016,9.9,3044,2,1,2,100,Northern Metropolitan,7485,1120000,Nearby,8
Pascoe Vale,3,h,Nelson,9/3/2016,9.9,3044,3,1,4,560,Northern Metropolitan,7485,770000,Nearby,11
Port Melbourne,2,u,Biggin,9/3/2016,3.8,3207,2,2,1,50,Southern Metropolitan,8648,1100000,Nearby,7
Port Melbourne,2,u,Greg,9/3/2016,3.8,3207,1,1,1,50,Southern Metropolitan,8648,650000,Nearby,5
Port Melbourne,3,h,Marshall,9/3/2016,3.8,3207,3,3,1,593,Southern Metropolitan,8648,1681000,Nearby,10
Prahran,2,u,Hodges,9/3/2016,4.5,3181,2,1,1,50,Southern Metropolitan,7717,650000,Nearby,6
Prahran,1,u,hockingstuart,9/3/2016,4.5,3181,1,1,1,50,Southern Metropolitan,7717,342000,Nearby,4
Prahran,4,h,Marshall,9/3/2016,4.5,3181,3,3,1,593,Southern Metropolitan,7717,2680000,Nearby,11
Prahran,2,h,hockingstuart,9/3/2016,4.5,3181,2,1,1,88,Southern Metropolitan,7717,950000,Nearby,6
Prahran,2,u,Wilson,9/3/2016,4.5,3181,2,1,1,50,Southern Metropolitan,7717,781000,Nearby,6
Preston,3,h,Harcourts,9/3/2016,8.8,3072,3,1,2,644,Northern Metropolitan,14577,1250000,Nearby,9
Preston,3,h,Ray,9/3/2016,8.8,3072,3,1,2,584,Northern Metropolitan,14577,855000,Nearby,9
Preston,4,h,Ray,9/3/2016,8.8,3072,4,2,2,604,Northern Metropolitan,14577,930000,Nearby,12
Preston,4,h,Nelson,9/3/2016,8.8,3072,4,2,1,530,Northern Metropolitan,14577,900000,Nearby,11
Preston,3,h,Barry,9/3/2016,8.8,3072,3,3,1,482,Northern Metropolitan,14577,1030000,Nearby,10
Preston,4,h,Nelson,9/3/2016,8.8,3072,3,0,0,650,Northern Metropolitan,14577,1004000,Nearby,7
Preston,2,u,hockingstuart,9/3/2016,8.8,3072,1,1,1,50,Northern Metropolitan,14577,540000,Nearby,5
Preston,3,h,Barry,9/3/2016,8.8,3072,3,1,2,518,Northern Metropolitan,14577,930000,Nearby,9
Reservoir,3,u,Barry,9/3/2016,11.2,3073,1,1,1,50,Northern Metropolitan,21650,666000,Nearby,6
Reservoir,3,u,Ray,9/3/2016,11.2,3073,3,1,1,191,Northern Metropolitan,21650,475000,Nearby,8
Reservoir,3,h,Nelson,9/3/2016,11.2,3073,3,3,1,482,Northern Metropolitan,21650,738000,Nearby,10
Reservoir,2,t,Barry,9/3/2016,11.2,3073,2,2,1,145,Northern Metropolitan,21650,355000,Nearby,7
Reservoir,3,h,Stockdale,9/3/2016,11.2,3073,3,3,1,482,Northern Metropolitan,21650,590000,Nearby,10
Reservoir,2,u,Ray,9/3/2016,11.2,3073,2,1,1,189,Northern Metropolitan,21650,415000,Nearby,6
Reservoir,2,h,Nelson,9/3/2016,11.2,3073,3,3,1,482,Northern Metropolitan,21650,428000,Nearby,9
Richmond,2,h,Biggin,9/3/2016,2.6,3121,2,1,1,125,Northern Metropolitan,14949,937000,Nearby,6
Richmond,3,h,Biggin,9/3/2016,2.6,3121,2,1,0,203,Northern Metropolitan,14949,1260000,Nearby,6
Richmond,3,h,Biggin,9/3/2016,2.6,3121,3,3,1,482,Northern Metropolitan,14949,1820000,Nearby,10
Richmond,3,t,Jellis,9/3/2016,2.6,3121,3,2,1,675,Northern Metropolitan,14949,1236000,Nearby,9
Richmond,2,u,LITTLE,9/3/2016,2.6,3121,2,2,1,656,Northern Metropolitan,14949,540000,Nearby,7
Richmond,2,u,hockingstuart,9/3/2016,2.6,3121,2,1,2,50,Northern Metropolitan,14949,795250,Nearby,7
Richmond,2,u,Biggin,9/3/2016,2.6,3121,2,1,1,50,Northern Metropolitan,14949,582000,Nearby,6
Richmond,1,u,Domain,9/3/2016,2.6,3121,1,1,1,50,Northern Metropolitan,14949,500000,Nearby,4
Rosanna,5,h,Nelson,9/3/2016,11.4,3084,4,2,1,629,Eastern Metropolitan,3540,1101500,Nearby,12
Seddon,3,h,Burnham,9/3/2016,6.6,3011,3,1,1,350,Western Metropolitan,2417,1145000,Nearby,8
South Melbourne,2,u,Dingle,9/3/2016,2.1,3205,2,2,1,50,Southern Metropolitan,5943,593000,Nearby,7
South Melbourne,4,h,Marshall,9/3/2016,2.1,3205,3,3,1,593,Southern Metropolitan,5943,2000000,Nearby,11
South Melbourne,3,h,Marshall,9/3/2016,2.1,3205,3,2,1,88,Southern Metropolitan,5943,1600000,Nearby,9
South Yarra,2,u,Jellis,9/3/2016,3.3,3141,1,1,1,50,Southern Metropolitan,14887,531000,Nearby,5
South Yarra,2,u,Kay,9/3/2016,3.3,3141,1,1,1,50,Southern Metropolitan,14887,788750,Nearby,5
South Yarra,1,u,hockingstuart,9/3/2016,3.3,3141,2,1,1,50,Southern Metropolitan,14887,430000,Nearby,5
South Yarra,2,u,Jellis,9/3/2016,3.3,3141,2,1,1,50,Southern Metropolitan,14887,722000,Nearby,6
South Yarra,2,u,hockingstuart,9/3/2016,3.3,3141,2,2,2,50,Southern Metropolitan,14887,930000,Nearby,8
South Yarra,1,u,McGrath,9/3/2016,3.3,3141,1,1,1,50,Southern Metropolitan,14887,467500,Nearby,4
South Yarra,2,u,Buxton,9/3/2016,3.3,3141,2,1,0,50,Southern Metropolitan,14887,475000,Nearby,5
Southbank,3,u,VICPROP,9/3/2016,1.2,3006,3,1,1,50,Southern Metropolitan,8400,720000,Nearby,8
